,ID,Mach No,Angle of Attack,Lift Coefficient,Drag Coefficient,Airfoil_type
375,DP 15,1,-13,-1.0086579,0.35971917,c5a
376,DP 16,1.02,-13,-0.98821883,0.35345402,c5a
377,DP 17,1.04,-13,-0.96982729,0.34773767,c5a
378,DP 18,1.06,-13,-0.95306281,0.34250404,c5a
379,DP 19,1.08,-13,-0.93793704,0.33770915,c5a
380,DP 20,1.1,-13,-0.92425011,0.33328994,c5a
381,DP 21,1.12,-13,-0.91189989,0.32920339,c5a
382,DP 22,1.14,-13,-0.90068087,0.32540291,c5a
383,DP 23,1.16,-13,-0.89019625,0.32185553,c5a
384,DP 24,1.18,-13,-0.88015039,0.31857726,c5a
385,DP 25,1.2,-13,-0.87021183,0.31537061,c5a
386,DP 26,1.22,-13,-0.85920263,0.31208458,c5a
387,DP 27,1.24,-13,-0.84730571,0.30870881,c5a
388,DP 28,1.26,-13,-0.83499292,0.30522032,c5a
389,DP 29,1.28,-13,-0.82354245,0.30192752,c5a
390,DP 30,1.3,-13,-0.81442131,0.29913216,c5a
391,DP 31,1.32,-13,-0.80854211,0.29722046,c5a
392,DP 32,1.34,-13,-0.80362091,0.29586797,c5a
393,DP 33,1.36,-13,-0.79631711,0.29401555,c5a
394,DP 34,1.38,-13,-0.78628437,0.29146477,c5a
395,DP 35,1.4,-13,-0.77422467,0.28845631,c5a
396,DP 0,0.7,11,0.69317799,0.14924245,c5a
397,DP 1,0.72,11,0.70982118,0.15373357,c5a
398,DP 2,0.74,11,0.73388899,0.16006856,c5a
399,DP 3,0.76,11,0.75494827,0.16792398,c5a
400,DP 4,0.78,11,0.77986539,0.17758369,c5a
401,DP 5,0.8,11,0.79953531,0.18814744,c5a
402,DP 6,0.82,11,0.82719429,0.20147003,c5a
403,DP 7,0.84,11,0.86251018,0.21881132,c5a
404,DP 8,0.86,11,0.91642176,0.24313257,c5a
405,DP 9,0.88,11,0.97990639,0.27383787,c5a
406,DP 10,0.9,11,1.0337899,0.30387343,c5a
407,DP 11,0.92,11,0.99834939,0.30893374,c5a
408,DP 12,0.94,11,0.94035228,0.30489414,c5a
409,DP 13,0.96,11,0.90513819,0.29804372,c5a
410,DP 14,0.98,11,0.87854271,0.29183743,c5a
411,DP 15,1,11,0.85626195,0.28631874,c5a
412,DP 16,1.02,11,0.83676257,0.2813704,c5a
413,DP 17,1.04,11,0.81978017,0.2769162,c5a
414,DP 18,1.06,11,0.80443216,0.27280804,c5a
415,DP 19,1.08,11,0.79073648,0.26902938,c5a
416,DP 20,1.1,11,0.77864811,0.26555496,c5a
417,DP 21,1.12,11,0.76807202,0.26237088,c5a
418,DP 22,1.14,11,0.75875105,0.25949634,c5a
419,DP 23,1.16,11,0.75009673,0.2568981,c5a
420,DP 24,1.18,11,0.74156056,0.25433089,c5a
421,DP 25,1.2,11,0.73318987,0.25193435,c5a
422,DP 26,1.22,11,0.72497162,0.24968277,c5a
423,DP 27,1.24,11,0.71678353,0.24750428,c5a
424,DP 28,1.26,11,0.70893166,0.2453449,c5a
425,DP 29,1.28,11,0.70190962,0.24331084,c5a
426,DP 30,1.3,11,0.69498511,0.24149344,c5a
427,DP 31,1.32,11,0.68617938,0.23958535,c5a
428,DP 32,1.34,11,0.67546122,0.2374368,c5a
429,DP 33,1.36,11,0.6626724,0.23500169,c5a
430,DP 34,1.38,11,0.64788456,0.23237787,c5a
431,DP 35,1.4,11,0.63332832,0.22984807,c5a
432,DP 0,0.7,-19,-0.64271912,0.30257128,c5a
433,DP 1,0.72,-19,-0.65214718,0.30744212,c5a
434,DP 2,0.74,-19,-0.66419214,0.31322584,c5a
435,DP 3,0.76,-19,-0.67958871,0.31996067,c5a
436,DP 4,0.78,-19,-0.69968248,0.3279421,c5a
437,DP 5,0.8,-19,-0.72462776,0.33700401,c5a
438,DP 6,0.82,-19,-0.75460341,0.34729903,c5a
439,DP 7,0.84,-19,-0.78993467,0.35888868,c5a
440,DP 8,0.86,-19,-0.83212922,0.37226396,c5a
441,DP 9,0.88,-19,-0.88622352,0.38823884,c5a
442,DP 10,0.9,-19,-0.97786644,0.41611882,c5a
443,DP 11,0.92,-19,-1.2240145,0.51469963,c5a
444,DP 12,0.94,-19,-1.3744882,0.5922486,c5a
445,DP 13,0.96,-19,-1.3579237,0.58881703,c5a
446,DP 14,0.98,-19,-1.3255638,0.57613454,c5a
447,DP 15,1,-19,-1.2973566,0.56486572,c5a
448,DP 16,1.02,-19,-1.2719515,0.55461331,c5a
449,DP 17,1.04,-19,-1.2495021,0.54567269,c5a
450,DP 18,1.06,-19,-1.2286864,0.53725822,c5a
451,DP 19,1.08,-19,-1.209517,0.52944633,c5a
452,DP 20,1.1,-19,-1.1918474,0.52215268,c5a
453,DP 21,1.12,-19,-1.1756008,0.51531965,c5a
454,DP 22,1.14,-19,-1.1608668,0.50898608,c5a
455,DP 23,1.16,-19,-1.1477176,0.50325389,c5a
456,DP 24,1.18,-19,-1.1361257,0.49823918,c5a
457,DP 25,1.2,-19,-1.1259527,0.49397478,c5a
458,DP 26,1.22,-19,-1.1173563,0.49043073,c5a
459,DP 27,1.24,-19,-1.1079843,0.48646106,c5a
460,DP 28,1.26,-19,-1.0966294,0.48185524,c5a
461,DP 29,1.28,-19,-1.0848223,0.4773178,c5a
462,DP 30,1.3,-19,-1.0727026,0.47267212,c5a
